ECCCUniqueID,DataEnteredBy,SiteName,Prov,Prov_2,Year,Month,Day,DateObserved,Observer,Observer_contact,Lat,Long,SpeciesAlphaCode,CommonName,LatinName,GroupAs,Species_HPAIstatus,Individual_HPAIVstatus,YN,AgeClass,BreedingStatus,LandWaterColony,IFcolony_complete_partial_survey,IFcolony_boat_land_heli_plane,n_FoundNeurological,n_FoundDead,TotalObserved,n_SwabCollected,n_CarcassesCollectedAtSite,n_CarcassesSentForTesting,WhereCarcassWasSent,WhoCollected,n_Photos,PhotoVideo,GoogleDriveLinkForPhotoVideo,Comments,Site_Geocoding,lat_geocoded,lon_geocoded,latlon_simple,lat_simple,lon_simple,id,
MT-3922,Tania Barychka,Point la Haye,NL,Newfoundland,2022,7,12,2022-07-12,Wayne Humphries via PP and C Ward,Chris Ward (ECCC),46.89214,-53.5977,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,1,1,,,,,,,,,,,,,,,,,
MT-3923,Tania Barychka,Point la Haye,NL,Newfoundland,2022,7,12,2022-07-12,Wayne Humphries via PP and C Ward,Chris Ward (ECCC),46.89214,-53.5977,BLKI,Black-legged Kittiwake,Rissa tridactyla,seabirds,presume_positive,,,,,Land,,,,1,1,,,,,,,,,,,,,,,,,
CT-163,Tania Barychka,"Green Island, Bay of Islands",NL,Newfoundland,2022,7,12,2022-07-12,Public,Matthew.English@ec.gc.ca,49.16314,-58.146014,GLGU,Glaucous Gull,Larus hyperboreus,seabirds,presume_positive,,,,,Colony,Incidental (during ARU pick up),Land/Boat,0,0,0,,,,,,,,,"0 Birds observed, dead or alive",,,,,,,,
MT-285,Stephanie Avery-Gomm,Branch,NL,Newfoundland,2022,7,13,2022-07-13,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.882552,-53.947025,COMU,Common Murre,Uria aalge,seabirds,presume_positive,,,,,Land,,,,18,18,,,18 (only a proportion sent for testing as many were too far gone),CWHC,,,,,,"Branch, NL",46.88222,-53.953,"46.88, -53.95",46.88,-53.95,,
MT-286,Stephanie Avery-Gomm,Branch,NL,Newfoundland,2022,7,13,2022-07-13,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.882552,-53.947025,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,2,2,,,2 (only a proportion sent for testing as many were too far gone),CWHC,,,,,,"Branch, NL",46.88222,-53.953,"46.88, -53.95",46.88,-53.95,,
MT-287,Stephanie Avery-Gomm,Branch,NL,Newfoundland,2022,7,13,2022-07-13,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.882552,-53.947025,RAZO,Razorbill,Alca torda,seabirds,presume_positive,,,,,Land,,,,1,1,,,1 (only a proportion sent for testing as many were too far gone),CWHC,,,,,,"Branch, NL",46.88222,-53.953,"46.88, -53.95",46.88,-53.95,,
MT-288,Stephanie Avery-Gomm,Various - see comment field,NL,Newfoundland,2022,7,13,2022-07-13,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,,,,,,,,,,,,Land,,,,_G,,,,,,,,,,"2022-07-13 email ""Bird mortalities near Cape St. Mary's likely associated with HPAI"" from Sabina says ""Just a heads up that things appear to be unfolding rather quickly with respect to sick and dead birds on beaches on the Burin and St. Mary’s Bay, which points to Cape St. Mary’s birds. Just to get everyone on the same page: last Friday, reports were received of about 35 sick and dead primarily common murres and a few razorbills at Point May, Burin Peninsula. Todd Hollett, conservation officer based out of Winterland, picked up about a dozen (mostly murres, a few razorbills, two herring gulls and a black-backed gull) on Friday and has kept them frozen for pick up. Yesterday, Bill Montevecchi received reports of dead murres, gannets, and kittiwakes at Point La Haye. Today, Todd called me to say that he has been receiving many reports of additional dead birds but many live/sick, primarly murres and razorbills, at other beaches on the Burin and on the water near Taylor’s Bay and Lamaline. Shortly after receiving this phone call, Chris Mooney from Cape St. Mary’s contacted Chris Ward to say that he picked up today 15 common murres, 1 razorbill and 2 gannets (including a 4 year old) found dead near Branch. Note that this information was relayed to us while we were driving together back from Gull Island, after picking up a live razorbill found on a Ferryland beach showing neurological symptoms (this bird was dropped off at Animal Health this afternoon and was received by Meg Baker, along with an immature puffin and puffin chick found dead on Gull Island). In response to these reports, we are planning the following for tomorrow:
 - Chris Ward along with David Iles and Fiona Le Taro will be travelling to Cape St. Mary’s to pick up the birds collected by Chris Mooney for testing, conduct some beached bird surveys in the area, and if weather permits, deploy a zodiac to access Golden Bay, which is an excellent catchment beach for the area, as suggested by Chris M.
 - I will meet up with Todd Hollett in Goobies in the morning to collect the frozen birds picked up by Todd on Friday for testing and subsequently will head to Point La Haye to do a beached bird survey there.""","Various - see comment field, NL",,,"0, 0",0,0,,
MT-3389,TaniaBarychka,Point la Haye,NL,Newfoundland,2022,7,13,2022-07-13,Wayne Humphries,Bill_Montevecchi_Lab,46.8922,-53.59775,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,,,,0,1,1,,,,,,,,,,,,,,,,TB017,
MT-3390,TaniaBarychka,St. Bride's,NL,Newfoundland,2022,7,13,2022-07-13,Chris Mooney,Bill_Montevecchi_Lab,46.91992,-54.17298,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,,,,0,1,1,,,,,,,,,,,,,,,,TB018,
MT-3391,TaniaBarychka,Lamaline,NL,Newfoundland,2022,7,13,2022-07-13,Todd Hollett,Bill_Montevecchi_Lab,46.86907,-55.80345,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,,,,0,Unknown,Unknown,,,,,,,,,,,,,,,,TB019,
MT-3392,TaniaBarychka,Lords Cove,NL,Newfoundland,2022,7,13,2022-07-13,Bob Hennebury,Bill_Montevecchi_Lab,46.88089,-55.67023,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,,,,0,6,6,,,,,,,,,,,,,,,,TB020,
MT-3393,TaniaBarychka,Lamaline,NL,Newfoundland,2022,7,13,2022-07-13,Bob Hennebury,Bill_Montevecchi_Lab,46.86907,-55.80345,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,,,,0,2,2,,,,,,,,,,,,,,,,TB021,
MT-3394,TaniaBarychka,Point la Haye,NL,Newfoundland,2022,7,13,2022-07-13,Wayne Humphries,Bill_Montevecchi_Lab,46.8922,-53.59775,COMU,Common Murre,Uria aalge,seabirds,presume_positive,,,,,,,,0,10,10,,,,,,,,,FB Dm,,,,,,,TB022,
MT-3395,TaniaBarychka,St. Vincents,NL,Newfoundland,2022,7,13,2022-07-13,Wayne Humphries,Bill_Montevecchi_Lab,46.80076,-53.63737,COMU,Common Murre,Uria aalge,seabirds,presume_positive,,,,,,,,0,7,7,,,,,,,,,FB Dm,,,,,,,TB023,
MT-3396,TaniaBarychka,Lords Cove,NL,Newfoundland,2022,7,13,2022-07-13,Bob Hennebury,Bill_Montevecchi_Lab,46.88089,-55.67023,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,,,,0,8,8,,,,,,,,,"FB Dm, COMU/TBMU",,,,,,,TB024,
MT-3397,TaniaBarychka,St. Bride's,NL,Newfoundland,2022,7,13,2022-07-13,Chris Mooney,Bill_Montevecchi_Lab,46.91992,-54.17298,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,,,,0,10,10,,,,,,,,,COMU/TBMU,,,,,,,TB025,
MT-3398,TaniaBarychka,Branch,NL,Newfoundland,2022,7,13,2022-07-13,Chris Mooney,Bill_Montevecchi_Lab,46.8833,-53.9587,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,,,,0,6,6,,,,,,,,,COMU/TBMU,,,,,,,TB026,
MT-3399,TaniaBarychka,Lamaline,NL,Newfoundland,2022,7,13,2022-07-13,Todd Hollett,Bill_Montevecchi_Lab,46.86907,-55.80345,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,,,,0,Unknown,Unknown,,,,,,,,,"collecting murre and razorbill carcasses for testing on, the beaches; dead gannets reported today and dead + dying long tailed off Lamaline, COMU/TBMU",,,,,,,TB027,
MT-3400,TaniaBarychka,Lamaline,NL,Newfoundland,2022,7,13,2022-07-13,Todd Hollett,Bill_Montevecchi_Lab,46.86907,-55.80345,RAZO,Razorbill,Alca torda,seabirds,presume_positive,,,,,,,,0,Unknown,Unknown,,,,,,,,,,,,,,,,TB028,
MT-3401,TaniaBarychka,Salt and Soal Cove,NL,Newfoundland,2022,7,13,2022-07-13,Kay Ebbing,Bill_Montevecchi_Lab,46.88156,-55.40012,ATPU,Atlantic Puffin,Fratercula arctica,seabirds,presume_positive,,,,,,,,0,Unknown,Unknown,,,,,,,,,,,,,,,,TB029,
MT-3402,TaniaBarychka,Salt and Soal Cove,NL,Newfoundland,2022,7,13,2022-07-13,Kay Ebbing,Bill_Montevecchi_Lab,46.88156,-55.40012,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,,,,0,Unknown,Unknown,,,,,,,,,"dead murres and puffins, COMU/TBMU",,,,,,,TB030,
MT-3403,TaniaBarychka,Point Verde,NL,Newfoundland,2022,7,13,2022-07-13,Jerome Mcgrath,Bill_Montevecchi_Lab,47.23164,-54.0025,COMU,Common Murre,Uria aalge,seabirds,presume_positive,,,,,,,,0,12,12,,,,,,,,,"Could be 14, fb dm",,,,,,,TB031,
MT-3404,TaniaBarychka,Golden Bay,NL,Newfoundland,2022,7,13,2022-07-13,Stan McGrath,Bill_Montevecchi_Lab,46.82288,-54.14797,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,,,,0,3,3,,,,,,,,,COMU/TBMU,,,,,,,TB032,
MT-3405,TaniaBarychka,St. Pierre,NL,Newfoundland,2022,7,13,2022-07-13,"T Power, Adventure Canada Tour Boat",Bill_Montevecchi_Lab,46.8852,-56.3159,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,,,,0,10,10,,,,,,,,,COMU/TBMU,,,,,,,TB033,
MT-3406,TaniaBarychka,Columbier,NL,Newfoundland,2022,7,13,2022-07-13,"T Power, Adventure Canada Tour Boat",Bill_Montevecchi_Lab,,,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,,,,,,,,,,,,,,,COMU/TBMU,,,,,,,TB034,
MT-3407,TaniaBarychka,"Herring Cove Beach, St. Lawrence Harbour",NL,Newfoundland,2022,7,13,2022-07-13,Debbie Edwards,Bill_Montevecchi_Lab,46.91026,-55.37769,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,Land,,,0,4,4,,,,,,,,,"Fresh, COMU/TBMU",,,,,,,TB035,
MT-3933,Tania Barychka,Francois,NL,Newfoundland,2022,7,13,2022-07-13,Brendan Kelly via Chris Ward,Chris Ward (ECCC),47.57991,-56.7464,UNBI,Unidentified Bird,"Aves (gen, sp)",unknown,presume_negative,,,,,Water,,,,0,0,,,,,,,,,while ferrying from Burgeo to Grey River to Francois and back,,,,,,,,
MT-289,Stephanie Avery-Gomm,Point La Haye,NL,Newfoundland,2022,7,14,2022-07-14,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.892143,-53.597749,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,4,4,,,4,CWHC,,,,,,"Point La Haye, NL",46.89214,-53.5977,"46.89, -53.6",46.89,-53.6,,
MT-290,Stephanie Avery-Gomm,Point La Haye,NL,Newfoundland,2022,7,14,2022-07-14,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.892143,-53.597749,COMU,Common Murre,Uria aalge,seabirds,presume_positive,,,,,Land,,,,7,7,,,4,CWHC,,,,,4 added by Stephanie was changed to 7 by Tania as per Sabina's Point La Haye summary July 14-22,"Point La Haye, NL",46.89214,-53.5977,"46.89, -53.6",46.89,-53.6,,
MT-291,Stephanie Avery-Gomm,Point La Haye,NL,Newfoundland,2022,7,14,2022-07-14,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.892143,-53.597749,GRSH,Great Shearwater,Ardenna gravis,seabirds,presume_positive,,,,,Land,,,,1,1,,,1,CWHC,,,,,,"Point La Haye, NL",46.89214,-53.5977,"46.89, -53.6",46.89,-53.6,,
MT-292,Stephanie Avery-Gomm,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.809459,-54.08,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,2,2,,,2,CWHC,,,,,,"Point Lance, NL",46.81332,-54.0837,"46.81, -54.08",46.81,-54.08,,
MT-293,Stephanie Avery-Gomm,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.809459,-54.08,COMU,Common Murre,Uria aalge,seabirds,presume_positive,,,,,Land,,,,9,9,,,9,CWHC,,,,,,"Point Lance, NL",46.81332,-54.0837,"46.81, -54.08",46.81,-54.08,,
MT-294,Stephanie Avery-Gomm,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.809459,-54.08,RAZO,Razorbill,Alca torda,seabirds,presume_positive,,,,,Land,,,,1,1,,,1,CWHC,,,,,,"Point Lance, NL",46.81332,-54.0837,"46.81, -54.08",46.81,-54.08,,
MT-295,Stephanie Avery-Gomm,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,"Not reported (details from summary email provided by Sabina Wilhelm July 15, 2022 ""RE: Bird mortalities near Cape St. Mary's likely associated with HPAI"")",,46.809459,-54.08,DOVE,Dovekie,Alle alle,seabirds,presume_positive,,,,,Land,,,,1,1,,,1,CWHC,,,,,,"Point Lance, NL",46.81332,-54.0837,"46.81, -54.08",46.81,-54.08,,
MT-296,Matthew English,Point La Haye,NL,Newfoundland,2022,7,14,2022-07-14,Gerald White,,46.892143,-53.597749,COMU,Common Murre,Uria aalge,seabirds,presume_positive,,,,,Land,,,10,10,20,0,0,,,,1,Photo,https://drive.google.com/file/d/1V8fs5NWJMyca-hW4mzay_8HNAtPRAdPP/view?usp=sharing,"A mix of live and dead birds, primarily COMU based on Sabina's correspondence.","Point La Haye, NL",46.89214,-53.5977,"46.89, -53.6",46.89,-53.6,,
MT-297,Tania Barychka,"Point La Haye, NL",NL,Newfoundland,2022,7,14,2022-07-14,Point L Haye Summary - Sabina W.; conducted by CWS,,46.89214,-53.5977,ATPU,Atlantic Puffin,Fratercula arctica,seabirds,presume_positive,,,,,Land,,,,1,1,,,,,,,,,,,,,,,,,
MT-3408,TaniaBarychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen,Bill_Montevecchi_Lab,46.81375,-54.08388,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,,,,0,1,1,,,,,,,,,,,,,,,,TB036,
MT-3409,TaniaBarychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen,Bill_Montevecchi_Lab,46.81375,-54.08388,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,,,,0,14,14,,,,,,,,,COMU/TBMU,,,,,,,TB037,
MT-3410,TaniaBarychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen,Bill_Montevecchi_Lab,46.81375,-54.08388,ATPU,Atlantic Puffin,Fratercula arctica,seabirds,presume_positive,,,,,,,,0,1,1,,,,,,,,,,,,,,,,TB038,
MT-3411,TaniaBarychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen,Bill_Montevecchi_Lab,46.81375,-54.08388,RAZO,Razorbill,Alca torda,seabirds,presume_positive,,,,,,,,0,1,1,,,,,,,,,,,,,,,,TB039,
MT-3412,TaniaBarychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen,Bill_Montevecchi_Lab,46.81375,-54.08388,HERG,Herring Gull,Larus argentatus,seabirds,presume_positive,,,,,,,,0,1,1,,,,,,,,,,,,,,,,TB040,
MT-3924,Tania Barychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen via PP and C Ward,Chris Ward (ECCC),46.81332,-54.0837,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,Land,,,,10,10,,,,,,,,,,,,,,,,,
MT-3925,Tania Barychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen via PP and C Ward,Chris Ward (ECCC),46.81332,-54.0837,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,Land,,,1,,1,,,,,,,,,,,,,,,,,
MT-3926,Tania Barychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen via PP and C Ward,Chris Ward (ECCC),46.81332,-54.0837,ATPU,Atlantic Puffin,Fratercula arctica,seabirds,presume_positive,,,,,Land,,,,1,1,,,,,,,,,,,,,,,,,
MT-3927,Tania Barychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen via PP and C Ward,Chris Ward (ECCC),46.81332,-54.0837,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,,1,1,,,,,,,,,,,,,,,,,
MT-3928,Tania Barychka,Point Lance,NL,Newfoundland,2022,7,14,2022-07-14,Noah Careen via PP and C Ward,Chris Ward (ECCC),46.81332,-54.0837,NOGA,Northern Gannet,Morus bassanus,seabirds,presume_positive,,,,,Land,,,1,,1,,,,,,,,,,,,,,,,,
CT-19,Chris Ward,Cape St Marys,NL,Newfoundland,2022,7,14,2022-07-14,Chris Ward,ECCC,46.83,-54.2,COMU,Common Murre,Uria aalge,seabirds,presume_positive,,,,,Colony,Incidental Observation,Boat,2,4,6,0,0,0,,,,,,Survey around waters around CSM - Saint Brides to Golden Bay. Count of birds left in water (birds retrieved captured elsewhere),,,,,,,,
MT-298,Stephanie Avery-Gomm,Shoal Cove (St. Lawrence),NL,Newfoundland,2022,7,15,2022-07-15,"Todd Hollet, Conservation officer III, Forest and Wildlife Branch, Dept of Fisheries, Forest and Agriculture, NL Gov.",Toddhollett@gov.nl.ca,46.882758,-55.40073,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,Land,,,,24,24,,,,,,,,,,"Shoal Cove (St. Lawrence), NL",48.86857,-53.6639,"46.88, -55.4",46.88,-55.4,,
MT-299,Stephanie Avery-Gomm,Shoal Cove (St. Lawrence),NL,Newfoundland,2022,7,15,2022-07-15,"Todd Hollet, Conservation officer III, Forest and Wildlife Branch, Dept of Fisheries, Forest and Agriculture, NL Gov.",Toddhollett@gov.nl.ca,46.882758,-55.40073,RAZO,Razorbill,Alca torda,seabirds,presume_positive,,,,,Land,,,,5,5,,,,,,,,,,"Shoal Cove (St. Lawrence), NL",48.86857,-53.6639,"46.88, -55.4",46.88,-55.4,,
MT-300,Stephanie Avery-Gomm,Shoal Cove (St. Lawrence),NL,Newfoundland,2022,7,15,2022-07-15,"Todd Hollet, Conservation officer III, Forest and Wildlife Branch, Dept of Fisheries, Forest and Agriculture, NL Gov.",Toddhollett@gov.nl.ca,46.882758,-55.40073,ATPU,Atlantic Puffin,Fratercula arctica,seabirds,presume_positive,,,,,Land,,,,2,2,,2,2,,,,,,,"Shoal Cove (St. Lawrence), NL",48.86857,-53.6639,"46.88, -55.4",46.88,-55.4,,
MT-301,Stephanie Avery-Gomm,Shoal Cove (St. Lawrence),NL,Newfoundland,2022,7,15,2022-07-15,"Todd Hollet, Conservation officer III, Forest and Wildlife Branch, Dept of Fisheries, Forest and Agriculture, NL Gov.",Toddhollett@gov.nl.ca,46.882758,-55.40073,DOVE,Dovekie,Alle alle,seabirds,presume_positive,,,,,Land,,,,1,1,,1,1,,,,,,,"Shoal Cove (St. Lawrence), NL",48.86857,-53.6639,"46.88, -55.4",46.88,-55.4,,
MT-302,Stephanie Avery-Gomm,Shoal Cove (St. Lawrence),NL,Newfoundland,2022,7,15,2022-07-15,"Todd Hollet, Conservation officer III, Forest and Wildlife Branch, Dept of Fisheries, Forest and Agriculture, NL Gov.",Toddhollett@gov.nl.ca,46.882758,-55.40073,UNSH,Unknown Shearwater,Unknown Shearwater,seabirds,presume_negative,,,,,Land,,,,2,2,,2,2,,,,,,,"Shoal Cove (St. Lawrence), NL",48.86857,-53.6639,"46.88, -55.4",46.88,-55.4,,
MT-303,Stephanie Avery-Gomm,Salt Cove (St. Lawrence),NL,Newfoundland,2022,7,15,2022-07-15,"Todd Hollet, Conservation officer III, Forest and Wildlife Branch, Dept of Fisheries, Forest and Agriculture, NL Gov.",Toddhollett@gov.nl.ca,46.880383,-55.420846,UNMU,Unknown Murre,Unknown Murre,seabirds,presume_positive,,,,,Land,,,,24,24,,,,,,,,,,"Salt Cove (St. Lawrence) , NL",46.87839,-55.4204,"46.88, -55.42",46.88,-55.42,,
